Date,Country,New_confirmed,Total_confirmed,New_deaths,Total_deaths,New_recovered,Total_recovered
2022-11-19T04:48:24.726Z,World,469555,635333213,2587,6611892,0,0
2022-11-19T04:48:24.726Z,Afghanistan,162,204982,0,7830,0,0
2022-11-19T04:48:24.726Z,Albania,18,333233,0,3594,0,0
2022-11-19T04:48:24.726Z,Algeria,15,270996,0,6881,0,0
2022-11-19T04:48:24.726Z,Andorra,0,46824,0,156,0,0
2022-11-19T04:48:24.726Z,Angola,0,103131,0,1917,0,0
2022-11-19T04:48:24.726Z,Antarctica,0,11,0,0,0,0
2022-11-19T04:48:24.726Z,Antigua and Barbuda,0,9106,0,146,0,0
2022-11-19T04:48:24.726Z,Argentina,0,9721718,0,130011,0,0
2022-11-19T04:48:24.726Z,Armenia,0,445513,0,8709,0,0
2022-11-19T04:48:24.726Z,Australia,59318,10553237,77,15976,0,0
2022-11-19T04:48:24.726Z,Austria,4511,5506697,8,21124,0,0
2022-11-19T04:48:24.726Z,Azerbaijan,44,823849,1,9968,0,0
2022-11-19T04:48:24.726Z,Bahamas,0,37439,0,833,0,0
2022-11-19T04:48:24.726Z,Bahrain,241,694464,0,1532,0,0
2022-11-19T04:48:24.726Z,Bangladesh,38,2036306,0,29430,0,0
2022-11-19T04:48:24.726Z,Barbados,0,103545,0,564,0,0
2022-11-19T04:48:24.726Z,Belarus,0,994037,0,7118,0,0
2022-11-19T04:48:24.726Z,Belgium,2935,4627186,21,33021,0,0
2022-11-19T04:48:24.726Z,Belize,0,68988,0,687,0,0
2022-11-19T04:48:24.726Z,Benin,0,27922,0,163,0,0
2022-11-19T04:48:24.726Z,Bhutan,0,62460,0,21,0,0
2022-11-19T04:48:24.726Z,Bolivia,0,1110014,0,22244,0,0
2022-11-19T04:48:24.726Z,Bosnia and Herzegovina,21,400322,1,16190,0,0
2022-11-19T04:48:24.726Z,Botswana,0,326344,0,2790,0,0
2022-11-19T04:48:24.726Z,Brazil,32970,34971043,71,688835,0,0
2022-11-19T04:48:24.726Z,Brunei Darussalam,0,248861,0,225,0,0
2022-11-19T04:48:24.726Z,Bulgaria,220,1284838,10,37988,0,0
2022-11-19T04:48:24.726Z,Burkina Faso,0,21631,0,387,0,0
2022-11-19T04:48:24.726Z,Burundi,0,50639,0,38,0,0
2022-11-19T04:48:24.726Z,Cambodia,3,138010,0,3056,0,0
2022-11-19T04:48:24.726Z,Cameroon,0,123993,0,1965,0,0
2022-11-19T04:48:24.726Z,Canada,6001,3800649,144,42523,0,0
2022-11-19T04:48:24.726Z,Cape Verde,18,62758,0,410,0,0
2022-11-19T04:48:24.726Z,Central African Republic,0,15289,0,113,0,0
2022-11-19T04:48:24.726Z,Chad,0,7637,0,194,0,0
2022-11-19T04:48:24.726Z,Chile,6904,4859241,50,62102,0,0
2022-11-19T04:48:24.726Z,China,10324,2295014,12,15801,0,0
2022-11-19T04:48:24.726Z,Colombia,1298,6312657,19,141881,0,0
2022-11-19T04:48:24.726Z,Comoros,0,8925,0,161,0,0
2022-11-19T04:48:24.726Z,Congo (Brazzaville),301,25375,0,386,0,0
